Station.Name,Date_Established,Latitude,Longitude,Receiver,SAV
RB1,2/26/2020,25.1372509,-80.81941223,VR2W-112355,Halodule
RB10,2/26/2020,25.12401009,-80.81955719,VR2Tx-484350,Halodule
RB11,2/26/2020,25.12406921,-80.81342316,VR2W-110588,Drift
RB12,2/26/2020,25.1240406,-80.80741119,VR2Tx-484354,Drift
RB13,2/26/2020,25.12406921,-80.80140686,VR2W-113051,Halimeda
RB14,2/26/2020,25.11968994,-80.81330109,VR2Tx-484357,Halodule
RB15,2/26/2020,25.11967087,-80.80724335,VR2W-114737,Halodule
RB16,2/26/2020,25.11960983,-80.80151367,VR2Tx-484351,Halimeda
RB17,2/26/2020,25.11982918,-80.79338074,VR2W-112402,Thalassia
RB18,2/26/2020,25.11091995,-80.80139923,VR2Tx-484352,Thalassia
RB19,2/26/2020,25.11528969,-80.80135345,VR2W-112334,Halodule
RB2,2/26/2020,25.1371994,-80.81342316,VR2Tx-484355,Halodule
RB20,2/26/2020,25.11528015,-80.79535675,VR2Tx-484353,Thalassia
RB21,2/26/2020,25.11520958,-80.78930664,VR2W-135178,Thalassia
RB22,2/26/2020,25.1108799,-80.79524231,VR2Tx-484365,Thalassia
RB23,2/26/2020,25.11090088,-80.78932953,VR2W-135176,Thalassia
RB24,2/26/2020,25.10655022,-80.7949295,VR2Tx-484376,Thalassia
RB25,2/26/2020,25.10242081,-80.78942871,VR2Tx-484377,Thalassia
RB26,3/2/2020,25.12405014,-80.79530334,VR2Tx-484364,Halimeda
RB27,3/2/2020,25.1328907,-80.81955719,VR2Tx-484373,Halodule
RB28,3/2/2020,25.11541939,-80.80753326,VR2Tx-484374,Drift
RB29,3/2/2020,25.10647964,-80.78948212,VR2Tx-484379,Thalassia
RB3,2/26/2020,25.13722992,-80.80737305,VR2W-113609,Halodule
RB4,2/26/2020,25.12845039,-80.81939697,VR2Tx-484356,Halodule
RB5,2/26/2020,25.13282967,-80.81339264,VR2W-114746,Halodule
RB6,2/26/2020,25.13279915,-80.80747223,VR2Tx-484358,Halodule
RB7,2/26/2020,25.12857056,-80.81333923,VR2W-127609,Halodule
RB8,2/26/2020,25.12844086,-80.80735779,VR2Tx-484359,Halodule
RB9,2/26/2020,25.12855911,-80.80136871,VR2W-114727,Halimeda
